X[s],Quattro sensor 1: EMG.A 1,X[s],Quattro sensor 1: EMG.B 1,X[s],Quattro sensor 1: EMG.C 1,X[s],Quattro sensor 1: EMG.D 1,X[s],Quattro sensor 1: Pitch 1,X[s],Quattro sensor 1: Roll 1,X[s],Quattro sensor 1: Yaw 1,X[s],Quattro sensor 2: EMG.A 2,X[s],Quattro sensor 2: EMG.B 2,X[s],Quattro sensor 2: EMG.C 2,X[s],Quattro sensor 2: EMG.D 2,X[s],Quattro sensor 2: Pitch 2,X[s],Quattro sensor 2: Roll 2,X[s],Quattro sensor 2: Yaw 2,X[s],Quattro sensor 3: EMG.A 3,X[s],Quattro sensor 3: EMG.B 3,X[s],Quattro sensor 3: EMG.C 3,X[s],Quattro sensor 3: EMG.D 3,X[s],Quattro sensor 3: Pitch 3,X[s],Quattro sensor 3: Roll 3,X[s],Quattro sensor 3: Yaw 3,X[s],Quattro sensor 4: EMG.A 4,X[s],Quattro sensor 4: EMG.B 4,X[s],Quattro sensor 4: EMG.C 4,X[s],Quattro sensor 4: EMG.D 4,X[s],Quattro sensor 4: Pitch 4,X[s],Quattro sensor 4: Roll 4,X[s],Quattro sensor 4: Yaw 4,Mean Yaw,Yaw SD,Mean Pitch ,Pitch SD,Mean Roll,Roll SD
0.045,0,0.045,0,0.045,0,0.045,0,0.135,1.574114,0.135,1.707883,0.135,168.0357,0.045,0,0.045,0,0.045,0,0.045,0,0.135,0.3611905,0.135,0.01103828,0.135,171.9234,0.045,0,0.045,0,0.045,0,0.045,0,0.135,-0.1160429,0.135,-4.100686,0.135,167.2135,0.045,0,0.045,0,0.045,0,0.045,0,0.135,-0.04046707,0.135,-0.2961473,0.135,165.9042,168.2692,2.589428983,0.444698633,0.781530444,-0.669478005,2.451360975
0.0495,0,0.0495,0,0.0495,0,0.0495,0,0.1485,1.571621,0.1485,1.71148,0.1485,168.0423,0.0495,0,0.0495,0,0.0495,0,0.0495,0,0.1485,0.3621546,0.1485,0.009793091,0.1485,171.923,0.0495,0,0.0495,0,0.0495,0,0.0495,0,0.1485,-0.1203295,0.1485,-4.096282,0.1485,167.2211,0.0495,0,0.0495,0,0.0495,0,0.0495,0,0.1485,-0.03482568,0.1485,-0.291926,0.1485,165.9055,168.272975,2.587616171,0.444655105,0.780164062,-0.666733727,2.450569407
0.054,0,0.054,0,0.054,0,0.054,0,0.162,1.565933,0.162,1.712105,0.162,168.0484,0.054,0,0.054,0,0.054,0,0.054,0,0.162,0.3577325,0.162,0.0103409,0.162,171.9282,0.054,0,0.054,0,0.054,0,0.054,0,0.162,-0.1325072,0.162,-4.094491,0.162,167.2361,0.054,0,0.054,0,0.054,0,0.054,0,0.162,-0.03532096,0.162,-0.291545,0.162,165.9086,168.280325,2.586907198,0.438959335,0.780637184,-0.665897525,2.450005949
0.0585,0,0.0585,0,0.0585,0,0.0585,0,0.1755,1.565027,0.1755,1.713224,0.1755,168.0555,0.0585,0,0.0585,0,0.0585,0,0.0585,0,0.1755,0.3579186,0.1755,0.007735596,0.1755,171.9247,0.0585,0,0.0585,0,0.0585,0,0.0585,0,0.1755,-0.1329195,0.1755,-4.093606,0.1755,167.2449,0.0585,0,0.0585,0,0.0585,0,0.0585,0,0.1755,-0.03253743,0.1755,-0.2929541,0.1755,165.9218,168.286725,2.579831822,0.439372168,0.77973284,-0.666400126,2.449644327
0.063,0,0.063,0,0.063,0,0.063,0,0.189,1.561482,0.189,1.71213,0.189,168.0453,0.063,0,0.063,0,0.063,0,0.063,0,0.189,0.3585096,0.189,0.005617712,0.189,171.9146,0.063,0,0.063,0,0.063,0,0.063,0,0.189,-0.1352813,0.189,-4.088523,0.189,167.2582,0.063,0,0.063,0,0.063,0,0.063,0,0.189,-0.03011185,0.189,-0.2913296,0.189,165.9284,168.286625,2.571596358,0.438649613,0.778097893,-0.665526222,2.446808353
0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.2025,1.560232,0.2025,1.712341,0.2025,168.0514,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.2025,0.3598482,0.2025,0.005275494,0.2025,171.9142,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.2025,-0.1332042,0.2025,-4.090075,0.2025,167.2542,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.2025,-0.03204715,0.2025,-0.2937632,0.2025,165.9416,168.29035,2.56772398,0.438707213,0.777330673,-0.666555427,2.447445288
0.072,0,0.072,0,0.072,0,0.072,0,0.216,1.561786,0.216,1.71623,0.216,168.0669,0.072,0,0.072,0,0.072,0,0.072,0,0.216,0.3610892,0.216,7.01E-05,0.216,171.9251,0.072,0,0.072,0,0.072,0,0.072,0,0.216,-0.1333,0.216,-4.089633,0.216,167.2555,0.072,0,0.072,0,0.072,0,0.072,0,0.216,-0.0337562,0.216,-0.2944079,0.216,165.9522,168.299925,2.568970656,0.43895475,0.77840525,-0.666935203,2.447993004
0.0765,0,0.0765,0,0.0765,0,0.0765,0,0.2295,1.557381,0.2295,1.712631,0.2295,168.0707,0.0765,0,0.0765,0,0.0765,0,0.0765,0,0.2295,0.3592234,0.2295,0.001684322,0.2295,171.9273,0.0765,0,0.0765,0,0.0765,0,0.0765,0,0.2295,-0.1324122,0.2295,-4.089966,0.2295,167.2564,0.0765,0,0.0765,0,0.0765,0,0.0765,0,0.2295,-0.04007943,0.2295,-0.2929895,0.2295,165.9451,168.299875,2.571934336,0.436028193,0.777417529,-0.667160045,2.447199924
0.081,0,0.081,0,0.081,0,0.081,0,0.243,1.55796,0.243,1.715345,0.243,168.0699,0.081,0,0.081,0,0.081,0,0.081,0,0.243,0.3594044,0.243,-0.000954025,0.243,171.9343,0.081,0,0.081,0,0.081,0,0.081,0,0.243,-0.1344546,0.243,-4.095907,0.243,167.2582,0.081,0,0.081,0,0.081,0,0.081,0,0.243,-0.03512026,0.243,-0.2941334,0.243,165.9557,168.304525,2.571775672,0.436947385,0.777180864,-0.668912356,2.450551164
0.08549999,0,0.08549999,0,0.08549999,0,0.08549999,0,0.2565,1.555576,0.2565,1.710886,0.2565,168.0865,0.08549999,0,0.08549999,0,0.08549999,0,0.08549999,0,0.2565,0.3600276,0.2565,-0.003532617,0.2565,171.9321,0.08549999,0,0.08549999,0,0.08549999,0,0.08549999,0,0.2565,-0.130977,0.2565,-4.102513,0.2565,167.2677,0.08549999,0,0.08549999,0,0.08549999,0,0.08549999,0,0.2565,-0.03387329,0.2565,-0.2935389,0.2565,165.9561,168.3106,2.5688385,0.437688328,0.774909597,-0.672174629,2.45198195
